,predicted_lat,predicted_lon,true_latitude,true_longitude
89,8.9794,4.805727,8.457547,4.5769367
90,40.31155,6.9195213,41.388786,2.158991
91,39.365402,-72.61629,40.76268,-73.96767
92,40.35091,6.7011585,41.388786,2.158991
93,29.115482,126.11906,22.279982,114.1852
94,2.4721785,105.371956,3.1345556,101.686264
95,34.52265,135.21332,35.60086,139.68492
96,-17.294903,-61.10867,-33.519787,-70.59961
97,33.492413,132.41559,25.054674,121.61782
98,40.579994,-5.205657,41.149605,-8.610991
99,26.258884,54.092823,25.284931,51.536106
100,40.18619,20.545033,50.454655,30.523796
101,11.765785,2.726626,38.75382,-9.230829
102,38.58589,-73.14106,40.714268,-74.00597
103,33.55975,43.8038,50.454655,30.523796
104,34.82815,134.201,35.600945,139.68492
105,38.33738,-75.92755,40.754932,-74.000694
106,39.54571,21.847101,42.701805,23.298788
107,27.191685,121.5107,22.275494,114.168945
108,4.7612104,102.890785,1.2896689,103.85006
109,38.222565,-77.79554,40.714268,-74.00597
110,-24.757635,-53.726757,-23.561646,-46.65665
111,26.400354,54.355515,25.315006,51.44053
112,50.94325,3.3585553,51.54236,-0.34641293
113,49.57885,36.301807,50.454655,30.523796
114,36.972034,130.6519,35.640163,139.63141
115,23.119724,115.90953,22.307142,114.259964
116,42.080383,-62.56795,40.714268,-74.00597
117,23.296238,115.40082,22.285519,114.157684
118,8.744427,5.385106,8.484507,4.5628724
119,33.39633,131.78291,35.64019,139.63165
120,38.48621,-86.536606,38.58157,-121.494385
121,52.911533,11.980987,64.83778,-147.71638
122,22.699684,115.61553,22.275625,114.16903
123,51.03318,2.3309824,51.53665,-0.3238174
124,50.742878,3.4654663,51.517418,-0.082958676
125,36.73798,-126.16237,37.78214,-122.39409
126,10.602769,5.0414696,8.156144,4.7247806
127,45.560616,5.6999474,41.388786,2.158991
128,23.179821,115.52565,22.467955,114.23277
129,39.277287,-71.553085,51.53952,0.080855444
130,14.194458,90.47879,50.454655,30.523796
131,40.039276,6.985368,41.388786,2.158991
132,31.107971,50.892876,1.3844175,103.74517
133,11.248182,107.37633,21.0,104.99999
134,50.994877,3.8179696,51.525623,-0.13582507
135,32.165493,-14.578713,40.714268,-74.00597
136,40.02062,7.0879817,41.388786,2.158991
137,40.435787,11.169359,43.292694,5.3838654
138,50.961792,3.1624713,51.45267,-0.14796048
139,35.089127,137.13956,35.639973,139.63144
140,42.39587,-66.18445,51.490223,-0.21357656
141,49.939106,6.1556907,52.513954,13.474936
142,50.879982,2.068615,51.617928,0.07452406
